trip_id,request_time,pickup_zone,dropoff_zone,fare,status,driver_id,rider_id
1,2025-10-13 00:17:00,Toul Kork,Daun Penh,7.66,completed,71,58
2,2025-10-13 14:21:00,Chamkarmon,Sen Sok,7.84,cancelled_by_driver,81,180
3,2025-10-13 13:34:00,Chamkarmon,Daun Penh,6.24,completed,39,20
4,2025-10-13 17:11:00,Chamkarmon,Toul Kork,6.47,completed,36,255
5,2025-10-13 14:22:00,Russey Keo,Toul Kork,2.64,completed,40,38
6,2025-10-13 19:50:00,Sen Sok,Toul Kork,5.27,completed,45,148
7,2025-10-13 23:01:00,Russey Keo,Chamkarmon,5.33,completed,4,25
8,2025-10-13 08:13:00,Daun Penh,Chamkarmon,9.65,cancelled_by_driver,25,121
9,2025-10-13 05:27:00,Chamkarmon,Russey Keo,5.16,cancelled_by_driver,69,26
10,2025-10-13 10:09:00,Daun Penh,Russey Keo,6.17,cancelled_by_driver,30,169
11,2025-10-13 06:54:00,Toul Kork,Russey Keo,6.03,completed,76,225
12,2025-10-13 14:45:00,Toul Kork,Chamkarmon,6.91,cancelled_by_driver,68,1
13,2025-10-13 21:53:00,Russey Keo,Chamkarmon,7.86,completed,88,261
14,2025-10-13 03:20:00,Sen Sok,Russey Keo,3.41,completed,29,13
15,2025-10-13 02:25:00,Daun Penh,Russey Keo,5.99,completed,73,48
16,2025-10-13 06:08:00,Sen Sok,Sen Sok,8.52,completed,68,291
17,2025-10-13 17:25:00,Russey Keo,Russey Keo,5.44,completed,51,94
18,2025-10-13 14:13:00,Toul Kork,Sen Sok,3.87,completed,24,261
19,2025-10-13 02:27:00,Sen Sok,Daun Penh,7.07,completed,14,278
20,2025-10-13 22:03:00,Sen Sok,Chamkarmon,8.5,completed,69,205
21,2025-10-13 18:57:00,Toul Kork,Russey Keo,2.04,completed,18,185
22,2025-10-13 00:33:00,Daun Penh,Chamkarmon,8.1,cancelled_by_driver,42,175
23,2025-10-13 15:37:00,Toul Kork,Chamkarmon,8.48,cancelled_by_user,57,69
24,2025-10-13 18:30:00,Sen Sok,Chamkarmon,5.42,cancelled_by_driver,83,104
25,2025-10-13 08:59:00,Daun Penh,Daun Penh,9.86,completed,12,246
26,2025-10-13 01:39:00,Daun Penh,Toul Kork,8.19,completed,82,161
27,2025-10-13 01:51:00,Toul Kork,Russey Keo,8.08,completed,17,200
28,2025-10-13 02:30:00,Sen Sok,Toul Kork,7.86,completed,30,216
29,2025-10-13 20:10:00,Russey Keo,Toul Kork,2.78,completed,88,212
30,2025-10-13 21:51:00,Sen Sok,Toul Kork,3.35,completed,75,16
31,2025-10-13 02:56:00,Chamkarmon,Chamkarmon,5.44,completed,99,205
32,2025-10-13 05:39:00,Russey Keo,Sen Sok,3.74,cancelled_by_user,23,39
33,2025-10-13 03:58:00,Daun Penh,Chamkarmon,5.03,completed,81,89
34,2025-10-13 04:28:00,Russey Keo,Chamkarmon,9.05,completed,1,256
35,2025-10-13 20:05:00,Daun Penh,Toul Kork,8.51,completed,79,254
36,2025-10-13 07:58:00,Daun Penh,Chamkarmon,6.86,cancelled_by_user,32,216
37,2025-10-13 07:28:00,Russey Keo,Toul Kork,8.79,cancelled_by_driver,9,172
38,2025-10-13 05:27:00,Daun Penh,Sen Sok,8.16,cancelled_by_driver,15,137
39,2025-10-13 14:35:00,Daun Penh,Russey Keo,5.15,cancelled_by_user,28,178
40,2025-10-13 09:06:00,Chamkarmon,Toul Kork,3.21,completed,24,77
41,2025-10-13 17:51:00,Sen Sok,Sen Sok,5.87,completed,60,188
42,2025-10-13 04:56:00,Sen Sok,Russey Keo,7.76,completed,35,15
43,2025-10-13 18:54:00,Chamkarmon,Daun Penh,5.21,completed,86,292
44,2025-10-13 14:29:00,Russey Keo,Toul Kork,7.17,completed,27,214
45,2025-10-13 02:44:00,Toul Kork,Toul Kork,2.3,completed,83,208
46,2025-10-13 09:56:00,Toul Kork,Daun Penh,7.86,cancelled_by_user,76,169
47,2025-10-13 20:43:00,Toul Kork,Daun Penh,8.41,cancelled_by_user,20,280
48,2025-10-13 22:09:00,Chamkarmon,Toul Kork,7.51,cancelled_by_driver,65,146
49,2025-10-13 11:10:00,Chamkarmon,Daun Penh,9.72,cancelled_by_driver,85,263
50,2025-10-13 11:32:00,Daun Penh,Chamkarmon,8.53,completed,49,4
51,2025-10-13 22:02:00,Toul Kork,Russey Keo,9.18,completed,1,90
52,2025-10-13 14:05:00,Russey Keo,Russey Keo,9.44,completed,10,60
53,2025-10-13 00:47:00,Russey Keo,Russey Keo,8.31,completed,47,16
54,2025-10-13 21:54:00,Toul Kork,Chamkarmon,7.23,completed,59,227
55,2025-10-13 05:57:00,Toul Kork,Daun Penh,1.55,completed,96,29
56,2025-10-13 13:51:00,Toul Kork,Sen Sok,5.46,cancelled_by_user,62,151
57,2025-10-13 03:58:00,Chamkarmon,Daun Penh,6.35,completed,86,245
58,2025-10-13 00:48:00,Chamkarmon,Toul Kork,4.08,completed,18,270
59,2025-10-13 07:28:00,Chamkarmon,Russey Keo,4.2,completed,46,79
60,2025-10-13 18:43:00,Sen Sok,Daun Penh,9.67,completed,32,289
61,2025-10-13 06:39:00,Russey Keo,Sen Sok,9.08,completed,27,153
62,2025-10-13 05:16:00,Russey Keo,Toul Kork,8.72,completed,92,277
63,2025-10-13 05:06:00,Daun Penh,Chamkarmon,4.95,cancelled_by_driver,18,279
64,2025-10-13 12:21:00,Chamkarmon,Chamkarmon,1.62,completed,39,57
65,2025-10-13 23:24:00,Sen Sok,Sen Sok,2.18,completed,49,186
66,2025-10-13 11:00:00,Sen Sok,Toul Kork,4.15,completed,93,93
67,2025-10-13 13:22:00,Russey Keo,Russey Keo,1.63,completed,82,276
68,2025-10-13 20:39:00,Chamkarmon,Daun Penh,1.65,cancelled_by_user,44,158
69,2025-10-13 12:50:00,Daun Penh,Toul Kork,9.29,completed,72,275
70,2025-10-13 04:25:00,Chamkarmon,Chamkarmon,7.5,cancelled_by_user,54,181
71,2025-10-13 07:11:00,Toul Kork,Sen Sok,4.13,completed,95,77
72,2025-10-13 07:26:00,Chamkarmon,Sen Sok,2.63,cancelled_by_user,34,151
73,2025-10-13 09:32:00,Toul Kork,Daun Penh,5.85,completed,71,238
74,2025-10-13 10:14:00,Toul Kork,Sen Sok,1.55,completed,36,289
75,2025-10-13 19:11:00,Daun Penh,Sen Sok,9.48,completed,18,231
76,2025-10-13 08:23:00,Russey Keo,Toul Kork,5.03,completed,38,18
77,2025-10-13 11:14:00,Chamkarmon,Russey Keo,4.92,completed,59,73
78,2025-10-13 14:59:00,Toul Kork,Daun Penh,4.82,completed,9,189
79,2025-10-13 09:03:00,Chamkarmon,Toul Kork,2.09,completed,73,17
80,2025-10-13 20:04:00,Russey Keo,Russey Keo,6.93,completed,72,19
81,2025-10-13 14:05:00,Russey Keo,Toul Kork,7.73,completed,51,219
82,2025-10-13 07:03:00,Sen Sok,Toul Kork,7.25,cancelled_by_driver,35,120
83,2025-10-13 17:08:00,Russey Keo,Sen Sok,2.68,completed,82,101
84,2025-10-13 12:39:00,Daun Penh,Russey Keo,6.42,completed,5,34
85,2025-10-13 12:49:00,Toul Kork,Daun Penh,6.34,completed,14,84
86,2025-10-13 11:32:00,Sen Sok,Daun Penh,8.88,cancelled_by_driver,92,196
87,2025-10-13 11:55:00,Daun Penh,Russey Keo,4.72,completed,30,202
88,2025-10-13 18:22:00,Chamkarmon,Sen Sok,4.66,completed,4,11
89,2025-10-13 02:28:00,Toul Kork,Chamkarmon,6.76,cancelled_by_user,39,218
90,2025-10-13 08:01:00,Russey Keo,Toul Kork,6.88,completed,84,253
91,2025-10-13 01:48:00,Toul Kork,Sen Sok,5.49,completed,64,222
92,2025-10-13 18:04:00,Chamkarmon,Russey Keo,5.27,completed,25,80
93,2025-10-13 06:32:00,Sen Sok,Toul Kork,5.7,completed,28,7
94,2025-10-13 21:32:00,Sen Sok,Daun Penh,8.82,completed,76,272
95,2025-10-13 12:38:00,Sen Sok,Chamkarmon,5.42,completed,66,227
96,2025-10-13 19:13:00,Russey Keo,Daun Penh,9.49,completed,78,16
97,2025-10-13 23:29:00,Daun Penh,Russey Keo,5.78,cancelled_by_driver,22,12
98,2025-10-13 20:09:00,Daun Penh,Toul Kork,9.57,completed,31,291
99,2025-10-13 20:48:00,Toul Kork,Russey Keo,8.58,completed,23,241
100,2025-10-13 09:47:00,Russey Keo,Toul Kork,4.58,completed,48,21
101,2025-10-13 13:14:00,Sen Sok,Sen Sok,8.84,completed,20,178
102,2025-10-13 06:05:00,Sen Sok,Chamkarmon,2.44,completed,38,228
103,2025-10-13 04:42:00,Chamkarmon,Sen Sok,9.36,completed,55,273
104,2025-10-13 12:07:00,Chamkarmon,Sen Sok,6.87,cancelled_by_user,68,288
105,2025-10-13 14:16:00,Sen Sok,Russey Keo,1.96,cancelled_by_driver,79,297
106,2025-10-13 08:08:00,Sen Sok,Chamkarmon,6.98,completed,88,134
107,2025-10-13 13:39:00,Russey Keo,Toul Kork,9.78,completed,89,283
108,2025-10-13 21:17:00,Daun Penh,Toul Kork,2.09,completed,1,153
109,2025-10-13 13:21:00,Chamkarmon,Daun Penh,6.21,completed,7,66
110,2025-10-13 17:17:00,Daun Penh,Toul Kork,7.86,completed,57,137
111,2025-10-13 19:19:00,Russey Keo,Russey Keo,8.39,completed,95,92
112,2025-10-13 23:43:00,Sen Sok,Sen Sok,5.02,completed,12,259
113,2025-10-13 14:28:00,Daun Penh,Sen Sok,3.24,cancelled_by_driver,5,103
114,2025-10-13 19:21:00,Sen Sok,Sen Sok,1.86,cancelled_by_user,50,55
115,2025-10-13 23:06:00,Sen Sok,Chamkarmon,6.43,completed,42,257
116,2025-10-13 22:39:00,Toul Kork,Toul Kork,5.35,completed,12,101
117,2025-10-13 03:23:00,Daun Penh,Russey Keo,9.56,completed,18,198
118,2025-10-13 09:45:00,Daun Penh,Chamkarmon,2.02,completed,66,226
119,2025-10-13 07:46:00,Sen Sok,Daun Penh,7.33,completed,74,237
120,2025-10-13 02:05:00,Russey Keo,Russey Keo,1.71,completed,79,26
121,2025-10-13 15:11:00,Toul Kork,Russey Keo,2.96,completed,94,121
122,2025-10-13 17:39:00,Sen Sok,Russey Keo,5.36,completed,17,182
123,2025-10-13 20:21:00,Chamkarmon,Sen Sok,5.37,completed,68,199
124,2025-10-13 02:56:00,Chamkarmon,Russey Keo,7.33,completed,71,255
125,2025-10-13 21:02:00,Toul Kork,Toul Kork,9.24,completed,62,122
126,2025-10-13 15:25:00,Russey Keo,Russey Keo,6.93,cancelled_by_user,41,31
127,2025-10-13 16:53:00,Sen Sok,Sen Sok,9.61,completed,95,285
128,2025-10-13 21:51:00,Daun Penh,Russey Keo,8.99,completed,34,106
129,2025-10-13 14:59:00,Toul Kork,Daun Penh,6.47,completed,70,224
130,2025-10-13 08:03:00,Russey Keo,Daun Penh,8.59,completed,45,273
131,2025-10-13 19:48:00,Daun Penh,Sen Sok,6.96,completed,58,232
132,2025-10-13 08:42:00,Chamkarmon,Toul Kork,2.17,completed,51,256
133,2025-10-13 00:49:00,Chamkarmon,Toul Kork,7.79,completed,34,24
134,2025-10-13 19:56:00,Daun Penh,Chamkarmon,2.31,cancelled_by_driver,44,109
135,2025-10-13 08:17:00,Toul Kork,Sen Sok,6.55,completed,15,191
136,2025-10-13 18:34:00,Chamkarmon,Russey Keo,7.47,completed,78,25
137,2025-10-13 08:42:00,Sen Sok,Sen Sok,2.07,completed,70,187
138,2025-10-13 20:39:00,Daun Penh,Chamkarmon,3.46,completed,50,288
139,2025-10-13 05:16:00,Daun Penh,Sen Sok,9.28,completed,32,116
140,2025-10-13 23:23:00,Chamkarmon,Sen Sok,6.74,completed,67,37
141,2025-10-13 18:42:00,Toul Kork,Chamkarmon,3.59,completed,3,282
142,2025-10-13 02:44:00,Sen Sok,Toul Kork,7.37,completed,86,137
143,2025-10-13 13:34:00,Toul Kork,Russey Keo,6.57,completed,86,227
144,2025-10-13 23:38:00,Russey Keo,Chamkarmon,5.76,completed,74,182
145,2025-10-13 11:18:00,Russey Keo,Daun Penh,9.8,completed,51,86
146,2025-10-13 04:22:00,Chamkarmon,Toul Kork,7.31,completed,67,53
147,2025-10-13 11:38:00,Chamkarmon,Daun Penh,4.69,cancelled_by_user,76,235
148,2025-10-13 12:17:00,Chamkarmon,Toul Kork,8.3,completed,93,267
149,2025-10-13 17:48:00,Russey Keo,Russey Keo,9.02,completed,48,287
150,2025-10-13 16:46:00,Toul Kork,Russey Keo,2.56,completed,17,100
151,2025-10-13 09:39:00,Toul Kork,Sen Sok,3.2,completed,7,87
152,2025-10-13 05:13:00,Chamkarmon,Daun Penh,3.34,completed,13,15
153,2025-10-13 15:28:00,Sen Sok,Toul Kork,7.38,cancelled_by_user,66,101
154,2025-10-13 10:07:00,Toul Kork,Russey Keo,6.63,completed,4,165
155,2025-10-13 03:10:00,Russey Keo,Chamkarmon,6.76,completed,10,29
156,2025-10-13 21:36:00,Daun Penh,Russey Keo,9.5,completed,88,114
157,2025-10-13 16:35:00,Daun Penh,Chamkarmon,8.1,completed,17,107
158,2025-10-13 16:23:00,Daun Penh,Toul Kork,2.59,completed,52,130
159,2025-10-13 19:44:00,Sen Sok,Russey Keo,4.45,completed,6,84
160,2025-10-13 12:42:00,Chamkarmon,Russey Keo,5.2,completed,83,271
161,2025-10-13 19:33:00,Russey Keo,Toul Kork,4.87,completed,69,244
162,2025-10-13 11:57:00,Sen Sok,Russey Keo,7.19,completed,96,214
163,2025-10-13 01:36:00,Russey Keo,Chamkarmon,9.08,completed,74,166
164,2025-10-13 09:43:00,Russey Keo,Russey Keo,4.1,completed,9,279
165,2025-10-13 11:56:00,Chamkarmon,Daun Penh,6.19,completed,91,59
166,2025-10-13 17:17:00,Daun Penh,Sen Sok,8.21,completed,77,90
167,2025-10-13 02:33:00,Chamkarmon,Chamkarmon,5.04,completed,83,194
168,2025-10-13 03:21:00,Sen Sok,Daun Penh,2.93,completed,21,123
169,2025-10-13 06:19:00,Sen Sok,Toul Kork,5.54,completed,24,136
170,2025-10-13 06:23:00,Sen Sok,Chamkarmon,1.97,completed,4,139
171,2025-10-13 17:34:00,Chamkarmon,Sen Sok,9.51,completed,24,229
172,2025-10-13 06:01:00,Russey Keo,Sen Sok,2.14,completed,59,274
173,2025-10-13 15:11:00,Russey Keo,Toul Kork,5.23,cancelled_by_driver,99,50
174,2025-10-13 11:51:00,Toul Kork,Toul Kork,6.0,completed,3,118
175,2025-10-13 13:45:00,Sen Sok,Chamkarmon,9.88,completed,68,202
176,2025-10-13 20:06:00,Russey Keo,Russey Keo,2.91,completed,40,191
177,2025-10-13 09:42:00,Toul Kork,Toul Kork,2.47,completed,48,181
178,2025-10-13 18:30:00,Russey Keo,Russey Keo,1.57,completed,54,78
179,2025-10-13 10:07:00,Sen Sok,Daun Penh,2.82,completed,35,75
180,2025-10-13 08:29:00,Daun Penh,Sen Sok,3.26,cancelled_by_driver,95,295
181,2025-10-13 23:00:00,Sen Sok,Russey Keo,6.86,completed,56,281
182,2025-10-13 04:25:00,Chamkarmon,Sen Sok,3.37,completed,89,21
183,2025-10-13 02:10:00,Russey Keo,Russey Keo,1.67,completed,40,171
184,2025-10-13 18:30:00,Russey Keo,Daun Penh,8.53,completed,77,15
185,2025-10-13 01:38:00,Chamkarmon,Toul Kork,4.61,completed,68,211
186,2025-10-13 20:05:00,Chamkarmon,Daun Penh,4.51,cancelled_by_driver,46,48
187,2025-10-13 10:29:00,Daun Penh,Toul Kork,4.07,completed,78,86
188,2025-10-13 21:58:00,Russey Keo,Toul Kork,9.79,completed,13,149
189,2025-10-13 17:19:00,Russey Keo,Sen Sok,2.95,cancelled_by_driver,27,188
190,2025-10-13 14:38:00,Daun Penh,Daun Penh,9.14,completed,6,151
191,2025-10-13 22:47:00,Toul Kork,Russey Keo,8.1,completed,17,141
192,2025-10-13 09:31:00,Daun Penh,Daun Penh,2.15,completed,36,69
193,2025-10-13 22:53:00,Sen Sok,Sen Sok,9.89,completed,99,260
194,2025-10-13 03:14:00,Russey Keo,Toul Kork,3.81,completed,81,9
195,2025-10-13 11:36:00,Chamkarmon,Sen Sok,2.34,completed,2,121
196,2025-10-13 06:28:00,Sen Sok,Chamkarmon,8.55,cancelled_by_driver,77,101
197,2025-10-13 12:57:00,Russey Keo,Chamkarmon,7.51,completed,52,149
198,2025-10-13 03:53:00,Daun Penh,Russey Keo,6.75,completed,66,146
199,2025-10-13 20:11:00,Sen Sok,Sen Sok,2.83,completed,52,243
200,2025-10-13 20:18:00,Russey Keo,Russey Keo,5.57,completed,92,241
201,2025-10-13 22:55:00,Toul Kork,Russey Keo,8.13,completed,43,43
202,2025-10-13 03:42:00,Toul Kork,Chamkarmon,4.08,completed,90,95
203,2025-10-13 14:57:00,Chamkarmon,Russey Keo,4.15,completed,22,226
204,2025-10-13 11:22:00,Russey Keo,Chamkarmon,1.53,cancelled_by_driver,55,6
205,2025-10-13 08:15:00,Toul Kork,Toul Kork,2.98,cancelled_by_driver,67,214
206,2025-10-13 08:26:00,Daun Penh,Sen Sok,8.94,cancelled_by_driver,99,206
207,2025-10-13 09:54:00,Russey Keo,Russey Keo,5.25,completed,60,67
208,2025-10-13 16:55:00,Daun Penh,Chamkarmon,9.87,completed,58,100
209,2025-10-13 14:21:00,Daun Penh,Daun Penh,4.86,completed,12,12
210,2025-10-13 11:01:00,Toul Kork,Russey Keo,7.58,completed,88,237
211,2025-10-13 01:49:00,Russey Keo,Toul Kork,3.9,completed,69,258
212,2025-10-13 01:51:00,Sen Sok,Toul Kork,4.59,completed,84,135
213,2025-10-13 00:03:00,Toul Kork,Daun Penh,3.12,completed,39,222
214,2025-10-13 23:13:00,Toul Kork,Chamkarmon,4.45,completed,13,156
215,2025-10-13 00:07:00,Russey Keo,Russey Keo,6.15,completed,41,142
216,2025-10-13 02:28:00,Russey Keo,Chamkarmon,9.93,cancelled_by_user,57,158
217,2025-10-13 07:33:00,Daun Penh,Toul Kork,7.15,completed,53,262
218,2025-10-13 19:22:00,Russey Keo,Chamkarmon,3.19,completed,12,283
219,2025-10-13 23:05:00,Daun Penh,Toul Kork,1.88,completed,13,229
220,2025-10-13 18:57:00,Toul Kork,Chamkarmon,2.57,completed,74,280
221,2025-10-13 16:34:00,Chamkarmon,Daun Penh,6.28,cancelled_by_user,97,290
222,2025-10-13 12:30:00,Sen Sok,Sen Sok,8.0,completed,57,168
223,2025-10-13 02:04:00,Toul Kork,Daun Penh,9.49,completed,40,47
224,2025-10-13 22:59:00,Russey Keo,Daun Penh,1.63,completed,80,203
225,2025-10-13 18:12:00,Sen Sok,Sen Sok,5.94,cancelled_by_user,45,214
226,2025-10-13 15:20:00,Chamkarmon,Sen Sok,5.5,completed,35,246
227,2025-10-13 18:13:00,Chamkarmon,Russey Keo,7.08,cancelled_by_driver,3,24
228,2025-10-13 17:22:00,Daun Penh,Russey Keo,6.26,completed,5,274
229,2025-10-13 15:17:00,Sen Sok,Daun Penh,7.34,completed,90,44
230,2025-10-13 23:32:00,Daun Penh,Daun Penh,7.09,completed,11,156
231,2025-10-13 21:40:00,Toul Kork,Toul Kork,2.49,cancelled_by_driver,71,199
232,2025-10-13 15:31:00,Sen Sok,Toul Kork,8.3,completed,56,162
233,2025-10-13 16:38:00,Toul Kork,Russey Keo,2.55,completed,10,234
234,2025-10-13 01:14:00,Daun Penh,Russey Keo,7.44,completed,34,163
235,2025-10-13 16:04:00,Sen Sok,Toul Kork,5.04,completed,67,116
236,2025-10-13 01:03:00,Daun Penh,Toul Kork,5.87,completed,72,93
237,2025-10-13 14:07:00,Sen Sok,Chamkarmon,9.18,cancelled_by_user,31,42
238,2025-10-13 23:59:00,Daun Penh,Chamkarmon,9.06,completed,75,284
239,2025-10-13 13:20:00,Chamkarmon,Toul Kork,8.45,completed,71,210
240,2025-10-13 11:21:00,Daun Penh,Chamkarmon,5.84,completed,66,206
241,2025-10-13 07:30:00,Chamkarmon,Sen Sok,7.76,completed,70,220
242,2025-10-13 02:53:00,Daun Penh,Russey Keo,5.86,completed,41,280
243,2025-10-13 17:32:00,Sen Sok,Russey Keo,8.89,completed,63,136
244,2025-10-13 04:37:00,Sen Sok,Toul Kork,4.92,completed,32,106
245,2025-10-13 02:46:00,Sen Sok,Daun Penh,9.75,completed,20,118
246,2025-10-13 10:07:00,Russey Keo,Toul Kork,9.42,completed,57,237
247,2025-10-13 19:05:00,Toul Kork,Chamkarmon,7.8,completed,98,100
248,2025-10-13 17:52:00,Sen Sok,Daun Penh,3.88,completed,50,261
249,2025-10-13 01:19:00,Chamkarmon,Chamkarmon,2.62,cancelled_by_user,80,286
250,2025-10-13 10:55:00,Sen Sok,Sen Sok,8.76,cancelled_by_driver,25,103
251,2025-10-13 12:32:00,Russey Keo,Chamkarmon,2.91,cancelled_by_driver,12,63
252,2025-10-13 15:28:00,Chamkarmon,Sen Sok,8.76,cancelled_by_driver,71,175
253,2025-10-13 15:36:00,Russey Keo,Sen Sok,5.67,completed,39,282
254,2025-10-13 08:45:00,Chamkarmon,Chamkarmon,4.96,cancelled_by_driver,17,293
255,2025-10-13 13:27:00,Daun Penh,Chamkarmon,9.18,completed,45,226
256,2025-10-13 11:32:00,Toul Kork,Sen Sok,6.63,completed,11,7
257,2025-10-13 21:14:00,Toul Kork,Daun Penh,6.4,completed,70,127
258,2025-10-13 12:43:00,Russey Keo,Sen Sok,6.25,completed,23,92
259,2025-10-13 10:35:00,Toul Kork,Russey Keo,4.65,cancelled_by_driver,91,190
260,2025-10-13 09:42:00,Russey Keo,Sen Sok,8.18,cancelled_by_user,70,53
261,2025-10-13 13:44:00,Russey Keo,Daun Penh,3.65,completed,38,242
262,2025-10-13 19:17:00,Russey Keo,Russey Keo,9.48,cancelled_by_driver,2,132
263,2025-10-13 12:55:00,Toul Kork,Toul Kork,9.1,completed,86,112
